ALL				X				NP	
1	(v0-a,v1-n)	(v0-a)					1	(v0-a,v1-n)	(v0-a)
11	(v0-a,v1-r)	(v0-a)	11	(v0-a,v1-r)	(v0-a)	I			
522	(v0-a)	(v0-a)	117	(v0-a)	(v0-a)	M	91	(v0-a)	(v0-a)
3	(v0-n,v1-n)	(v0-a)					3	(v0-n,v1-n)	(v0-a)
31	(v0-n,v1-n)	(v0-n,v1-n)	8	(v0-n,v1-n)	(v0-n,v1-n)	M	19	(v0-n,v1-n)	(v0-n,v1-n)
787	(v0-n,v1-n)	(v0-n)	326	(v0-n,v1-n)	(v0-n)	M	405	(v0-n,v1-n)	(v0-n)
4	(v0-n,v1-r,v2-r)	(v0-a,v1-r,v2-r)	4	(v0-n,v1-r,v2-r)	(v0-a,v1-r,v2-r)	M			
1	(v0-n,v1-r,v2-r)	(v0-n,v1-n)	1	(v0-n,v1-r,v2-r)	(v0-n,v1-n)	I			
6	(v0-n,v1-r,v2-r)	(v0-n,v1-r,v2-r)	3	(v0-n,v1-r,v2-r)	(v0-n,v1-r,v2-r)	M			
18	(v0-n,v1-r,v2-r)	(v0-n,v1-r)	13	(v0-n,v1-r,v2-r)	(v0-n,v1-r)	M			
8	(v0-n,v1-r,v2-r)	(v0-n)	7	(v0-n,v1-r,v2-r)	(v0-n)	I			
1	(v0-n,v1-r,v2-v)	(v0-n,v1-r)	1	(v0-n,v1-r,v2-v)	(v0-n,v1-r)	I			
1	(v0-n,v1-r)	(v0-a,v1-n)	1	(v0-n,v1-r)	(v0-a,v1-n)	I			
25	(v0-n,v1-r)	(v0-a,v1-r)	25	(v0-n,v1-r)	(v0-a,v1-r)	M			
68	(v0-n,v1-r)	(v0-a)	52	(v0-n,v1-r)	(v0-a)	I			
298	(v0-n,v1-r)	(v0-n,v1-n)	298	(v0-n,v1-r)	(v0-n,v1-n)	I			
390	(v0-n,v1-r)	(v0-n,v1-r)	217	(v0-n,v1-r)	(v0-n,v1-r)	M	6	(v0-n,v1-r)	(v0-n,v1-r)
621	(v0-n,v1-r)	(v0-n)	444	(v0-n,v1-r)	(v0-n)	I	141	(v0-n,v1-r)	(v0-n)
2	(v0-n,v1-v)	(v0-a,v1-v)	1	(v0-n,v1-v)	(v0-a,v1-v)	M			
3	(v0-n,v1-v)	(v0-a)							
3	(v0-n,v1-v)	(v0-n,v1-r)	3	(v0-n,v1-v)	(v0-n,v1-r)	I			
1	(v0-n,v1-v)	(v0-n,v1-v)	1	(v0-n,v1-v)	(v0-n,v1-v)	M			
